2022-08-11 08:47:08,221| unknown| unknown| 127.0.0.1| unknown| GET| /internal/isw/initialSetupInfo| 200 
2022-08-11 08:47:08,264| unknown| unknown| 127.0.0.1| unknown| GET| /license/agreement| 200 
2022-08-11 08:47:11,299| unknown| unknown| 127.0.0.1| unknown| PUT| /license/agreement| 200 
2022-08-11 08:47:11,336| unknown| unknown| 127.0.0.1| unknown| GET| /internal/isw/defaultBaseUrl| 200 
2022-08-11 08:47:16,207| unknown| unknown| 127.0.0.1| unknown| GET| /license| 404 
2022-08-11 08:47:16,213| unknown| unknown| 127.0.0.1| unknown| GET| /license| 404 
2022-08-11 08:47:16,228| unknown| unknown| 127.0.0.1| unknown| GET| /license| 404 
2022-08-11 08:47:47,943| unknown| unknown| 127.0.0.1| unknown| POST| /internal/isw/validateLicense| 422 
2022-08-11 08:50:52,991| unknown| unknown| 127.0.0.1| unknown| POST| /internal/isw/validateLicense| 422 
2022-08-11 09:00:26,951| unknown| unknown| 127.0.0.1| unknown| POST| /internal/isw/validateLicense| 200 
2022-08-11 09:00:28,139| unknown| unknown| 127.0.0.1| unknown| GET| /internal/isw/adminPasswordRules| 200 
2022-08-11 09:00:42,305| unknown| unknown| 127.0.0.1| unknown| PUT| /license| 200 
2022-08-11 09:00:42,392| unknown| unknown| 127.0.0.1| unknown| POST| /administrativeAccounts| 200 
2022-08-11 09:00:42,646| Administrator| Basic| 127.0.0.1| unknown| GET| /serverSettings| 200 
2022-08-11 09:00:42,858| Administrator| Basic| 127.0.0.1| unknown| PUT| /serverSettings| 200 
2022-08-11 09:00:43,384| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:00:43,388| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:00:43,466| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/nodes| 200 
2022-08-11 09:00:43,472| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/shortcuts| 200 
2022-08-11 09:00:43,474| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/preferences/shortcuts| 200 
2022-08-11 09:02:56,858| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:02:56,860| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:02:56,936| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/nodes| 200 
2022-08-11 09:02:56,944| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/shortcuts| 200 
2022-08-11 09:02:56,944| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/preferences/shortcuts| 200 
2022-08-11 09:26:13,425| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:26:13,428| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:26:13,514| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/shortcuts| 200 
2022-08-11 09:26:13,525| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/preferences/shortcuts| 200 
2022-08-11 09:26:13,533| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/nodes| 200 
2022-08-11 09:29:21,024| Administrator| Basic| 127.0.0.1| unknown| GET| /version| 200 
2022-08-11 09:29:32,789| Administrator| Basic| 127.0.0.1| unknown| GET| /version| 200 
2022-08-11 09:29:32,882| Administrator| Basic| 127.0.0.1| unknown| GET| /version| 200 
2022-08-11 09:29:33,119| Administrator| Basic| 127.0.0.1| unknown| GET| /serverSettings| 200 
2022-08-11 09:29:33,409| Administrator| Basic| 127.0.0.1| unknown| PUT| /serverSettings| 200 
2022-08-11 09:29:33,442| Administrator| Basic| 127.0.0.1| unknown| GET| /version| 200 
2022-08-11 09:29:33,564| Administrator| Basic| 127.0.0.1| unknown| GET| /passwordCredentialValidators| 200 
2022-08-11 09:29:33,581| Administrator| Basic| 127.0.0.1| unknown| GET| /oauth/accessTokenManagers| 200 
2022-08-11 09:29:33,594| Administrator| Basic| 127.0.0.1| unknown| GET| /oauth/openIdConnect/policies| 200 
2022-08-11 09:29:33,594| Administrator| Basic| 127.0.0.1| unknown| GET| /oauth/clients| 200 
2022-08-11 09:29:33,608| Administrator| Basic| 127.0.0.1| unknown| GET| /idp/tokenProcessors| 200 
2022-08-11 09:29:33,620| Administrator| Basic| 127.0.0.1| unknown| GET| /oauth/tokenExchange/processor/policies| 200 
2022-08-11 09:29:33,612| Administrator| Basic| 127.0.0.1| unknown| GET| /serverSettings| 200 
2022-08-11 09:29:33,617| Administrator| Basic| 127.0.0.1| unknown| GET| /oauth/cibaServerPolicy/requestPolicies| 200 
2022-08-11 09:29:33,611| Administrator| Basic| 127.0.0.1| unknown| GET| /idp/adapters| 200 
2022-08-11 09:29:33,634| Administrator| Basic| 127.0.0.1| unknown| GET| /version| 200 
2022-08-11 09:29:33,642| Administrator| Basic| 127.0.0.1| unknown| GET| /serverSettings| 200 
2022-08-11 09:29:33,683| Administrator| Basic| 127.0.0.1| unknown| GET| /idp/spConnections| 200 
2022-08-11 09:29:33,684| Administrator| Basic| 127.0.0.1| unknown| GET| /sp/idpConnections| 200 
2022-08-11 09:29:33,735| Administrator| Basic| 127.0.0.1| unknown| GET| /oauth/outOfBandAuthPlugins| 200 
