2022-08-12 13:07:33,407| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:07:33,410| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:07:33,462| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/nodes| 200 
2022-08-12 13:07:33,466| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/preferences/shortcuts| 200 
2022-08-12 13:07:33,466| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/shortcuts| 200 
2022-08-12 13:07:35,079| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:07:35,085| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:07:35,087| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:07:40,050| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:07:40,052| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:07:40,053| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:07:47,334| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:07:47,337| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:07:47,339| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:07:49,400| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:07:49,408| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:07:49,414| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:08:32,914| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:08:32,916| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:08:32,919| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:08:36,743| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:08:36,749| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:08:36,754| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:15:09,378| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:15:09,380| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:15:09,463| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/nodes| 200 
2022-08-12 13:15:09,464| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/preferences/shortcuts| 200 
2022-08-12 13:15:09,466| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/shortcuts| 200 
2022-08-12 13:15:12,443| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:15:12,451| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:15:12,460| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:16:28,534| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:16:28,535| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:16:28,604| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/nodes| 200 
2022-08-12 13:16:28,610| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/preferences/shortcuts| 200 
2022-08-12 13:16:28,610| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/shortcuts| 200 
2022-08-12 13:16:32,541| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:16:32,550| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:16:32,553| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:16:49,080| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:16:49,083| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:16:49,101| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:17:17,968| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:17:17,971| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:17:17,974| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:19:14,117| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:19:14,119| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:19:14,122| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:21:25,159| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:21:25,161| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:21:25,227| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/nodes| 200 
2022-08-12 13:21:25,229| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/preferences/shortcuts| 200 
2022-08-12 13:21:25,229| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/shortcuts| 200 
2022-08-12 13:21:26,617| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:21:26,624| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:21:26,625| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:21:31,130| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:21:31,134| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:21:31,135| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:21:32,199| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:21:32,208| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:21:32,220| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:22:28,127| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:22:28,129| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:22:28,130| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:22:33,222| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:22:33,223| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:22:33,225| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:22:34,000| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:22:34,003| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:22:34,006| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:22:35,609| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:22:35,610| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:22:35,612| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:22:49,219| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:22:49,223| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:22:49,244| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:23:40,065| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:23:40,067| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:23:40,159| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/nodes| 200 
2022-08-12 13:23:40,160| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/shortcuts| 200 
2022-08-12 13:23:40,160| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/preferences/shortcuts| 200 
2022-08-12 13:23:41,614| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:23:41,622| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:23:41,624| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:25:23,490| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
