2022-08-12 13:07:28,895 | Administrator |  | 127.0.0.1 |  | USER | LOGIN_ATTEMPT |  | Incorrect password
2022-08-12 13:07:33,057 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | u82Ntzu6CzH_fLit_uG2Qr6sL4uanHGFnQbLaM1RMM4 | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-12 13:12:38,166 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_POLICY | CREATE |  | 
2022-08-12 13:13:38,220 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_POLICY | MODIFY |  | 
2022-08-12 13:15:01,002 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
2022-08-12 13:15:08,676 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | 4J874-hBxBSrR345pQmnciaACkzXzw8E4ygpP2bNaiI | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-12 13:15:39,470 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_CLIENTS | MODIFY |  | 
2022-08-12 13:16:16,747 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
2022-08-12 13:16:24,046 | Administrator |  | 127.0.0.1 |  | USER | LOGIN_ATTEMPT |  | Incorrect password
2022-08-12 13:16:28,095 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | IFk3T8bIzv28OkHxnW7Ji_6Rf88PtAHEJSW5xSUqn5M | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-12 13:17:16,167 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_ACCESS_TOKEN | MODIFY |  | JSON Web Tokens
2022-08-12 13:18:35,027 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_ACCESS_TOKEN_MAPPING | MODIFY |  | 
2022-08-12 13:19:06,885 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_ACCESS_TOKEN_MAPPING | MODIFY |  | 
2022-08-12 13:21:18,510 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
2022-08-12 13:21:24,709 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | OC-rJIrOYQffdIUQiQsuonm4mdw-j4OF6cQrdQGk94s | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-12 13:22:08,172 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_POLICY | MODIFY |  | 
2022-08-12 13:23:33,808 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
2022-08-12 13:23:39,626 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | uYLY9sTWnCfoIAt68fIvSGO57XhH77Y2F3NYtz5EpDw | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-12 13:25:12,113 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
2022-08-12 13:25:23,125 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | EFy9kyZ2jsiFy7u35POzgtqVAI2uaklC4BYkLpuDJKM | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-12 13:29:32,187 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
