2022-08-11 09:31:10,590| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 420 
2022-08-11 09:31:10,608| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| cc_secret_client| 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 438 
2022-08-11 09:31:54,233| tid:ctLV8NCkff5rm5KaSeeSbpmVB14| OAuth| | 127.0.0.1 | | rs_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 2 
2022-08-11 09:31:54,249| tid:ctLV8NCkff5rm5KaSeeSbpmVB14| OAuth| | 127.0.0.1 | | rs_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 18 
2022-08-11 09:32:17,221| tid:1sQuDJP1dnMDykyTeEgSAviU7ns| OAuth| | 127.0.0.1 | | rs_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 09:32:17,223| tid:1sQuDJP1dnMDykyTeEgSAviU7ns| OAuth| | 127.0.0.1 | | rs_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 2 
2022-08-11 09:32:42,376| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 09:32:42,665| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 290 
2022-08-11 09:32:50,036| tid:vyiZYS4dOWseyju2GEAzm9xtOMg| OAuth| | 127.0.0.1 | | rs_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 09:32:50,037| tid:vyiZYS4dOWseyju2GEAzm9xtOMg| OAuth| | 127.0.0.1 | | rs_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 2 
2022-08-11 09:33:40,570| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 09:33:40,571| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 2 
2022-08-11 09:33:54,438| tid:VHY3C11FYD_6dwfH6HSY_fxOD3E| OAuth| | 127.0.0.1 | | rs_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 09:33:54,439| tid:VHY3C11FYD_6dwfH6HSY_fxOD3E| OAuth| | 127.0.0.1 | | rs_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 2 
2022-08-11 09:35:44,873| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 09:35:44,879| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| cc_secret_client| 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 7 
2022-08-11 09:36:22,764| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 09:36:22,767| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| cc_secret_client| 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 4 
2022-08-11 09:37:00,735| tid:aUNexfTc_l7Gb0jr5NKYzLiDIRc| OAuth| | 127.0.0.1 | | rs_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 09:37:00,739| tid:aUNexfTc_l7Gb0jr5NKYzLiDIRc| OAuth| | 127.0.0.1 | | rs_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 5 
2022-08-11 09:38:28,365| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 09:38:28,368| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| cc_secret_client| 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 4 
2022-08-11 09:39:14,523| tid:KBPw6JTOcAe98v_rKiucpLT63ZI| OAuth| | 127.0.0.1 | | rs_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 09:39:14,525| tid:KBPw6JTOcAe98v_rKiucpLT63ZI| OAuth| | 127.0.0.1 | | rs_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 3 
2022-08-11 09:40:24,830| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 09:40:24,835| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 6 
2022-08-11 09:40:27,264| tid:lg1Jfu9pkNkdjmwkw00FEmMy4AM| OAuth| | 127.0.0.1 | | rs_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 0 
2022-08-11 09:40:27,265| tid:lg1Jfu9pkNkdjmwkw00FEmMy4AM| OAuth| | 127.0.0.1 | | rs_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 1 
2022-08-11 09:40:29,415| tid:wPmYABd0shIbj6BXixk9Df-eym8| OAuth| | 127.0.0.1 | | rs_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 09:40:29,416| tid:wPmYABd0shIbj6BXixk9Df-eym8| OAuth| | 127.0.0.1 | | rs_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 2 
2022-08-11 09:47:07,899| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 09:47:07,904| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| cc_secret_client| 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 6 
2022-08-11 09:49:08,608| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
